1,2 15.8 29.58 0.2 30.42 3.8 42.82 0.2 43.28
3,4 15.2 11.46 22.8 11.96 22.8 13.89 15.2 15.97
5,6 15.8 29.58 0.2 30.42 3.8 42.82 0.2 43.28
7,8 15.2 11.46 22.8 11.96 22.8 13.89 15.2 15.97
9,10,11 25.0 18.60 25.0 20.03 30.0 21.67 20.0 22.72
12,13,14 68.95 19.20 49.25 20.32 39.4 21.22 39.4 22.13
15,16,17,18,19 2.4 23.41 3.6 23.78 3.6 26.84 2.4 30.40
20,21 54.25 9.92 38.75 10.25 31.0 10.68 31.0 11.26
22,23 100.0 5.31 100.0 5.38 120.0 5.53 80.0 5.66
24,25,26,27,28,29 50.0 0
30,31 54.25 9.92 38.75 10.25 31.0 10.68 31.0 11.26
32 140 10.08 87.5 10.66 52.5 11.09 70.0 11.72