datetime_beginning_utc,datetime_beginning_ept,area,hrly_da_demand_bid
2/28/2024 5:00:00 AM,2/28/2024 12:00:00 AM,MID_ATLANTIC_REGION,22317.0
2/28/2024 5:00:00 AM,2/28/2024 12:00:00 AM,WESTERN_REGION,37959.0
2/28/2024 5:00:00 AM,2/28/2024 12:00:00 AM,PJM_RTO,70831.0
2/28/2024 6:00:00 AM,2/28/2024 1:00:00 AM,MID_ATLANTIC_REGION,21616.0
2/28/2024 6:00:00 AM,2/28/2024 1:00:00 AM,WESTERN_REGION,37827.0
2/28/2024 6:00:00 AM,2/28/2024 1:00:00 AM,PJM_RTO,69790.0
2/28/2024 7:00:00 AM,2/28/2024 2:00:00 AM,MID_ATLANTIC_REGION,20785.0
2/28/2024 7:00:00 AM,2/28/2024 2:00:00 AM,WESTERN_REGION,36884.0
2/28/2024 7:00:00 AM,2/28/2024 2:00:00 AM,PJM_RTO,67933.0
2/28/2024 8:00:00 AM,2/28/2024 3:00:00 AM,MID_ATLANTIC_REGION,19982.0
2/28/2024 8:00:00 AM,2/28/2024 3:00:00 AM,WESTERN_REGION,37619.0
2/28/2024 8:00:00 AM,2/28/2024 3:00:00 AM,PJM_RTO,67042.0
2/28/2024 9:00:00 AM,2/28/2024 4:00:00 AM,MID_ATLANTIC_REGION,20884.0
2/28/2024 9:00:00 AM,2/28/2024 4:00:00 AM,WESTERN_REGION,38831.0
2/28/2024 9:00:00 AM,2/28/2024 4:00:00 AM,PJM_RTO,69339.0
2/28/2024 10:00:00 AM,2/28/2024 5:00:00 AM,MID_ATLANTIC_REGION,22739.0
2/28/2024 10:00:00 AM,2/28/2024 5:00:00 AM,WESTERN_REGION,40541.0
2/28/2024 10:00:00 AM,2/28/2024 5:00:00 AM,PJM_RTO,73206.0
2/28/2024 11:00:00 AM,2/28/2024 6:00:00 AM,MID_ATLANTIC_REGION,26463.0
2/28/2024 11:00:00 AM,2/28/2024 6:00:00 AM,WESTERN_REGION,44380.0
2/28/2024 11:00:00 AM,2/28/2024 6:00:00 AM,PJM_RTO,81957.0
2/28/2024 12:00:00 PM,2/28/2024 7:00:00 AM,MID_ATLANTIC_REGION,27811.0
2/28/2024 12:00:00 PM,2/28/2024 7:00:00 AM,WESTERN_REGION,46228.0
2/28/2024 12:00:00 PM,2/28/2024 7:00:00 AM,PJM_RTO,86372.0
2/28/2024 1:00:00 PM,2/28/2024 8:00:00 AM,MID_ATLANTIC_REGION,28282.0
2/28/2024 1:00:00 PM,2/28/2024 8:00:00 AM,WESTERN_REGION,47168.0
2/28/2024 1:00:00 PM,2/28/2024 8:00:00 AM,PJM_RTO,87751.0
2/28/2024 2:00:00 PM,2/28/2024 9:00:00 AM,MID_ATLANTIC_REGION,28228.0
2/28/2024 2:00:00 PM,2/28/2024 9:00:00 AM,WESTERN_REGION,48098.0
2/28/2024 2:00:00 PM,2/28/2024 9:00:00 AM,PJM_RTO,88410.0
2/28/2024 3:00:00 PM,2/28/2024 10:00:00 AM,MID_ATLANTIC_REGION,28781.0
2/28/2024 3:00:00 PM,2/28/2024 10:00:00 AM,WESTERN_REGION,48539.0
2/28/2024 3:00:00 PM,2/28/2024 10:00:00 AM,PJM_RTO,89260.0
2/28/2024 4:00:00 PM,2/28/2024 11:00:00 AM,MID_ATLANTIC_REGION,28065.0
2/28/2024 4:00:00 PM,2/28/2024 11:00:00 AM,WESTERN_REGION,48455.0
2/28/2024 4:00:00 PM,2/28/2024 11:00:00 AM,PJM_RTO,88587.0
2/28/2024 5:00:00 PM,2/28/2024 12:00:00 PM,MID_ATLANTIC_REGION,28038.0
2/28/2024 5:00:00 PM,2/28/2024 12:00:00 PM,WESTERN_REGION,48337.0
2/28/2024 5:00:00 PM,2/28/2024 12:00:00 PM,PJM_RTO,88433.0
2/28/2024 6:00:00 PM,2/28/2024 1:00:00 PM,MID_ATLANTIC_REGION,27887.0
2/28/2024 6:00:00 PM,2/28/2024 1:00:00 PM,WESTERN_REGION,48603.0
2/28/2024 6:00:00 PM,2/28/2024 1:00:00 PM,PJM_RTO,88461.0
2/28/2024 7:00:00 PM,2/28/2024 2:00:00 PM,MID_ATLANTIC_REGION,27707.0
2/28/2024 7:00:00 PM,2/28/2024 2:00:00 PM,WESTERN_REGION,48598.0
2/28/2024 7:00:00 PM,2/28/2024 2:00:00 PM,PJM_RTO,87973.0
2/28/2024 8:00:00 PM,2/28/2024 3:00:00 PM,MID_ATLANTIC_REGION,27735.0
2/28/2024 8:00:00 PM,2/28/2024 3:00:00 PM,WESTERN_REGION,48496.0
2/28/2024 8:00:00 PM,2/28/2024 3:00:00 PM,PJM_RTO,88103.0
2/28/2024 9:00:00 PM,2/28/2024 4:00:00 PM,MID_ATLANTIC_REGION,28978.0
2/28/2024 9:00:00 PM,2/28/2024 4:00:00 PM,WESTERN_REGION,49117.0
2/28/2024 9:00:00 PM,2/28/2024 4:00:00 PM,PJM_RTO,90234.0
2/28/2024 10:00:00 PM,2/28/2024 5:00:00 PM,MID_ATLANTIC_REGION,29780.0
2/28/2024 10:00:00 PM,2/28/2024 5:00:00 PM,WESTERN_REGION,51295.0
2/28/2024 10:00:00 PM,2/28/2024 5:00:00 PM,PJM_RTO,93544.0
2/28/2024 11:00:00 PM,2/28/2024 6:00:00 PM,MID_ATLANTIC_REGION,30615.0
2/28/2024 11:00:00 PM,2/28/2024 6:00:00 PM,WESTERN_REGION,53344.0
2/28/2024 11:00:00 PM,2/28/2024 6:00:00 PM,PJM_RTO,96874.0
2/29/2024 12:00:00 AM,2/28/2024 7:00:00 PM,MID_ATLANTIC_REGION,30180.0
2/29/2024 12:00:00 AM,2/28/2024 7:00:00 PM,WESTERN_REGION,53062.0
2/29/2024 12:00:00 AM,2/28/2024 7:00:00 PM,PJM_RTO,96177.0
2/29/2024 1:00:00 AM,2/28/2024 8:00:00 PM,MID_ATLANTIC_REGION,29428.0
2/29/2024 1:00:00 AM,2/28/2024 8:00:00 PM,WESTERN_REGION,52193.0
2/29/2024 1:00:00 AM,2/28/2024 8:00:00 PM,PJM_RTO,94441.0
2/29/2024 2:00:00 AM,2/28/2024 9:00:00 PM,MID_ATLANTIC_REGION,28164.0
2/29/2024 2:00:00 AM,2/28/2024 9:00:00 PM,WESTERN_REGION,50840.0
2/29/2024 2:00:00 AM,2/28/2024 9:00:00 PM,PJM_RTO,91292.0
2/29/2024 3:00:00 AM,2/28/2024 10:00:00 PM,MID_ATLANTIC_REGION,26402.0
2/29/2024 3:00:00 AM,2/28/2024 10:00:00 PM,WESTERN_REGION,49386.0
2/29/2024 3:00:00 AM,2/28/2024 10:00:00 PM,PJM_RTO,87297.0
2/29/2024 4:00:00 AM,2/28/2024 11:00:00 PM,MID_ATLANTIC_REGION,25052.0
2/29/2024 4:00:00 AM,2/28/2024 11:00:00 PM,WESTERN_REGION,47561.0
2/29/2024 4:00:00 AM,2/28/2024 11:00:00 PM,PJM_RTO,83648.0
